TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170121,11.184,0.0,214.784,28.903,0.0,351.488,0.0,3.071,0.0,94.094,0.0,9.68,0.0,1.478,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.3593,-9999,-9999,-9999,-9999,-9999,4.29616,-9999,-9999,-9999,-9999,-9999,-1.80187,0.0,-9999,-1.98192,-1.80095,-1.55603,0.0,0.0,0.0,4.85444,4.77159,4.85469,4.87131,6.65797,6.41779,6.60408,6.83662,1.82747,1.79034,1.79998,3.58087,1.13273,1.11884,1.13485,1.75523,-9999,-9999
20170122,12.083,0.0,216.457,53.848,0.0,358.341,0.0,3.524,0.0,93.007,0.0,16.657,0.0,1.923,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8367,-9999,-9999,-9999,-9999,-9999,7.11198,-9999,-9999,-9999,-9999,-9999,-2.05235,0.0,-9999,-2.32354,-2.0499,-1.79605,0.0,0.0,0.0,4.98261,4.9262,4.98278,4.9941,7.03608,6.77651,6.9913,7.30632,1.85157,1.81395,1.82372,3.6281,1.75169,1.73502,1.7521,2.36268,-9999,-9999
20170123,9.006,0.0,218.176,18.63,0.0,355.135,0.0,2.594,0.0,92.769,0.0,16.302,0.0,2.811,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.2993,-9999,-9999,-9999,-9999,-9999,3.19904,-9999,-9999,-9999,-9999,-9999,-1.57134,0.0,-9999,-2.07789,-1.57134,-1.45613,0.0,0.0,0.0,4.53856,4.39792,4.50502,4.54612,6.11273,5.81657,6.11273,6.61688,1.76534,1.72947,1.73878,3.45912,0.757706,0.74792,0.759428,1.2212,-9999,-9999
20170124,7.227,0.0,219.94,103.984,0.0,312.194,0.0,3.659,0.0,94.205,0.0,0.584,0.0,1.625,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.3593,-9999,-9999,-9999,-9999,-9999,4.29616,-9999,-9999,-9999,-9999,-9999,-1.80187,0.0,-9999,-1.98192,-1.80095,-1.55603,0.0,0.0,0.0,4.27755,4.09051,4.23372,4.28746,6.08313,5.61758,5.97599,6.26003,1.71174,1.67696,1.68599,3.35411,3.02149,2.99751,3.01935,3.76152,-9999,-9999
20170125,11.236,0.0,221.747,137.109,0.0,313.906,0.0,7.076,0.0,94.205,0.0,0.898,0.0,2.758,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8367,-9999,-9999,-9999,-9999,-9999,7.11198,-9999,-9999,-9999,-9999,-9999,-2.05235,0.0,-9999,-2.32354,-2.0499,-1.79605,0.0,0.0,0.0,4.84777,4.78577,4.84797,4.86127,6.90143,6.63174,6.85087,7.17151,1.81778,1.78084,1.79044,3.56188,3.54357,3.52007,3.53987,4.39778,-9999,-9999
20170126,8.019,0.0,223.598,136.481,0.0,295.121,0.0,4.362,0.0,94.328,0.0,4.768,0.0,3.149,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.2993,-9999,-9999,-9999,-9999,-9999,3.19904,-9999,-9999,-9999,-9999,-9999,-1.57134,0.0,-9999,-2.07789,-1.57134,-1.45613,0.0,0.0,0.0,4.3918,4.23179,4.35337,4.40049,5.96639,5.64577,5.96639,6.47018,1.73351,1.69828,1.70743,3.39675,3.75679,3.72977,3.75246,4.50764,-9999,-9999
20170127,1.671,0.0,225.492,76.271,0.0,284.53,0.0,3.616,0.0,94.703,0.0,0.774,0.0,2.581,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.3593,-9999,-9999,-9999,-9999,-9999,4.29616,-9999,-9999,-9999,-9999,-9999,-1.80187,0.0,-9999,-1.98192,-1.80095,-1.55603,0.0,0.0,0.0,3.45829,3.08076,3.38632,3.47467,5.26629,4.63496,5.18727,5.44114,1.53525,1.50406,1.51216,3.00828,2.52469,2.5005,2.52537,3.38493,-9999,-9999
20170128,3.304,0.0,227.426,156.649,0.0,251.806,0.0,4.834,0.0,94.506,0.0,0.061,0.0,3.089,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8367,-9999,-9999,-9999,-9999,-9999,7.11198,-9999,-9999,-9999,-9999,-9999,-2.05235,0.0,-9999,-2.32354,-2.0499,-1.79605,0.0,0.0,0.0,3.6997,3.37303,3.63652,3.71406,5.75742,5.16908,5.66067,6.04003,1.58614,1.55391,1.56228,3.10799,4.0927,4.06569,4.08655,4.78608,-9999,-9999
20170129,2.883,0.0,229.402,99.636,0.0,277.377,0.0,3.582,0.0,94.262,0.0,3.716,0.0,3.4,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.2993,-9999,-9999,-9999,-9999,-9999,3.19904,-9999,-9999,-9999,-9999,-9999,-1.57134,0.0,-9999,-2.07789,-1.57134,-1.45613,0.0,0.0,0.0,3.6376,3.29328,3.57112,3.65271,5.21458,4.74942,5.20633,5.71635,1.57524,1.54323,1.55154,3.08663,3.09131,3.0645,3.09048,3.96498,-9999,-9999
20170130,2.224,0.0,231.416,138.456,0.0,258.101,0.0,4.362,0.0,94.769,0.0,0.562,0.0,2.943,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.3593,-9999,-9999,-9999,-9999,-9999,4.29616,-9999,-9999,-9999,-9999,-9999,-1.80187,0.0,-9999,-1.98192,-1.80095,-1.55603,0.0,0.0,0.0,3.5404,3.18792,3.47198,3.55596,5.34809,4.74395,5.27293,5.5232,1.55131,1.51979,1.52798,3.03975,3.79734,3.77014,3.79291,4.55212,-9999,-9999
