#downloadDate:20231101135859
#numberOfSitesDownloaded:27
#dataFiles
SITE_ID,filename,start_year,end_year,version,filetype,timestamp
US-xKA,AMF_US-xKA_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140645
US-xKA,AMF_US-xKA_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140645
US-xKA,AMF_US-xKA_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140645
US-xKZ,AMF_US-xKZ_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202305152012
US-xKZ,AMF_US-xKZ_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202305152012
US-xKZ,AMF_US-xKZ_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202305152012
US-xKZ,AMF_US-xKZ_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202305152011
US-xKZ,AMF_US-xKZ_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202305152012
US-xKZ,AMF_US-xKZ_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202305152012
US-xKZ,AMF_US-xKZ_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202305152012
US-xMB,AMF_US-xMB_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306141205
US-xMB,AMF_US-xMB_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306141205
US-xMB,AMF_US-xMB_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306141205
US-xMB,AMF_US-xMB_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306141205
US-xMB,AMF_US-xMB_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306141205
US-xMB,AMF_US-xMB_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306141205
US-xMB,AMF_US-xMB_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306141205
US-xML,AMF_US-xML_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306141502
US-xML,AMF_US-xML_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306141502
US-xML,AMF_US-xML_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306141502
US-xML,AMF_US-xML_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306141502
US-xML,AMF_US-xML_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306141502
